rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:08.437657+00:00 [warning] <0.776.0> memory resource limit alarm set on node 'rabbit@rabbitmq-1'.[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:08.437657+00:00 [warning] <0.776.0> [0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:08.437657+00:00 [warning] <0.776.0> **********************************************************[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:08.437657+00:00 [warning] <0.776.0> *** Publishers will be blocked until this alarm clears ***[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:08.437657+00:00 [warning] <0.776.0> **********************************************************[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:08.437657+00:00 [warning] <0.776.0> [0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:17.213023+00:00 [warning] <0.776.0> memory resource limit alarm cleared on node 'rabbit@rabbitmq-1'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:43:17.213794+00:00 [warning] <0.776.0> memory resource limit alarm cleared across the cluster[0m
rabbitmq-2-1  | 2026-08-30 14:43:17.730482+00:00 [info] <0.3414.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': granting vote for {'%2F_atlas.1788100997691701000.quorum-recovery','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:43:17.735048+00:00 [info] <0.3414.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': detected a new leader {'%2F_atlas.1788100997691701000.quorum-recovery','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | 2026-08-30 14:43:18.085209+00:00 [info] <0.792.0> rabbit on node 'rabbit@rabbitmq-1' down[0m
rabbitmq-2-1  | 2026-08-30 14:43:18.098415+00:00 [info] <0.3414.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': Leader monitor down with shutdown, setting election timeout[0m
rabbitmq-2-1  | 2026-08-30 14:43:18.123804+00:00 [info] <0.3414.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': granting vote for {'%2F_atlas.1788100997691701000.quorum-recovery','rabbit@rabbitmq-3'} with last {index, term} {9,1} for term 2 previous term was 1[0m
rabbitmq-2-1  | 2026-08-30 14:43:18.126610+00:00 [info] <0.792.0> node 'rabbit@rabbitmq-1' down: connection_closed[0m
