rabbitmq-1-1  |   TLS Library: OpenSSL - OpenSSL 3.5.8 25 Aug 2026
rabbitmq-1-1  | 2026-08-30 14:43:49.955186+00:00 [info] <0.1008.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:50.105947+00:00 [info] <0.791.0> rabbit_stream_coordinator: follower did not have entry at 658 in 26. Requesting {rabbit_stream_coordinator,'rabbit@rabbitmq-2'} from 657[0m
rabbitmq-1-1  | 2026-08-30 14:43:50.106085+00:00 [info] <0.791.0> rabbit_stream_coordinator: detected a new leader {rabbit_stream_coordinator,'rabbit@rabbitmq-2'} in term 26[0m
rabbitmq-1-1  | 2026-08-30 14:43:50.119488+00:00 [info] <0.1015.0> accepting AMQP connection 192.168.80.1:42573 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:50.120792+00:00 [warning] <0.1015.0> closing AMQP connection <0.1015.0> (192.168.80.1:42573 -> 192.168.80.3:5672, duration: '1ms'):[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:43:50.120792+00:00 [warning] <0.1015.0> client unexpectedly closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:43:50.268578+00:00 [info] <0.1020.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:53.684650+00:00 [info] <0.1080.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:53.907837+00:00 [info] <0.1089.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.258780+00:00 [info] <0.1157.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.259364+00:00 [info] <0.1157.0> Deleting vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.259577+00:00 [info] <0.1157.0> Clearing permissions in vhost '/atlas-metadata-20260830T143739Z-65535' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.294236+00:00 [info] <0.1157.0> Deleting queues in vhost '/atlas-metadata-20260830T143739Z-65535' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.297609+00:00 [info] <0.1157.0> Deleting exchanges in vhost '/atlas-metadata-20260830T143739Z-65535' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.335033+00:00 [info] <0.1157.0> Clearing policies and runtime parameters in vhost '/atlas-metadata-20260830T143739Z-65535' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.337301+00:00 [info] <0.1162.0> Closing all connections in vhost '/atlas-metadata-20260830T143739Z-65535' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.337478+00:00 [info] <0.1157.0> Stopping vhost supervisor <0.799.0> for vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.337802+00:00 [info] <0.800.0> Virtual host '/atlas-metadata-20260830T143739Z-65535' is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.338037+00:00 [info] <0.1164.0> Closing all connections in vhost '/atlas-metadata-20260830T143739Z-65535' on node 'rabbit@rabbitmq-1' because the vhost is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.338331+00:00 [info] <0.813.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7/msg_store_persistent'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.342938+00:00 [info] <0.813.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7/msg_store_persistent' is stopped[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.343438+00:00 [info] <0.809.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.350089+00:00 [info] <0.809.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7/msg_store_transient' is stopped[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.352206+00:00 [info] <0.1157.0> Deleting message store directory for vhost '/atlas-metadata-20260830T143739Z-65535' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.358520+00:00 [info] <15327.3946.0> Stopping vhost supervisor <15327.3491.0> for vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.367824+00:00 [info] <15327.3946.0> Deleting message store directory for vhost '/atlas-metadata-20260830T143739Z-65535' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.370444+00:00 [info] <15328.3870.0> Stopping vhost supervisor <15328.3442.0> for vhost '/atlas-metadata-20260830T143739Z-65535'[0m
rabbitmq-1-1  | 2026-08-30 14:43:57.377423+00:00 [info] <15328.3870.0> Deleting message store directory for vhost '/atlas-metadata-20260830T143739Z-65535' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/2TGGST32FDOBKLHTI2FBJLRR7'[0m
rabbitmq-1-1  | 2026-08-30 14:43:58.190682+00:00 [info] <0.1175.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:44:02.154596+00:00 [info] <0.1264.0> accepting AMQP connection 192.168.80.1:54823 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:44:02.163895+00:00 [info] <0.1264.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:44:02.167356+00:00 [info] <0.1264.0> connection 192.168.80.1:54823 -> 192.168.80.3:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
