rabbitmq-2-1  | [38;5;214m2026-08-30 14:23:47.903169+00:00 [warning] <0.2495.0> HTTP access denied: user 'atlas-scenario-20260830t141832z3367' - Not management user[0m
rabbitmq-2-1  | 2026-08-30 14:23:49.452276+00:00 [info] <0.2517.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:02.346689+00:00 [info] <0.2601.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:11.766758+00:00 [info] <0.2681.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:16.923503+00:00 [info] <0.2756.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:41.441497+00:00 [info] <0.2911.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:54.567952+00:00 [info] <0.3020.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:24:57.815973+00:00 [info] <0.3066.0> accepting AMQP connection 192.168.80.1:32484 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:24:57.819755+00:00 [warning] <0.3066.0> closing AMQP connection <0.3066.0> (192.168.80.1:32484 -> 192.168.80.2:5672, duration: '4ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:24:57.819755+00:00 [warning] <0.3066.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:24:59.477307+00:00 [info] <0.3085.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:25:24.342979+00:00 [info] <0.3167.0> queue 'atlas.1788099923809659000.performance.quorum' in vhost '/': granting vote for {'%2F_atlas.1788099923809659000.performance.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:25:24.352566+00:00 [info] <0.3167.0> queue 'atlas.1788099923809659000.performance.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788099923809659000.performance.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:25:26.383139+00:00 [notice] <0.3167.0> queue 'atlas.1788099923809659000.performance.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-2-1  | 2026-08-30 14:25:26.391422+00:00 [info] <0.3176.0> Deleting server '%2F_atlas.1788099923809659000.performance.quorum' and its data directory.[0m
rabbitmq-2-1  | 2026-08-30 14:25:26.470560+00:00 [info] <0.3179.0> Stream: __atlas_1788099923809659000_performance_stream_1788099926414185441 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/stream/__atlas_1788099923809659000_performance_stream_1788099926414185441 for osiris log data directory[0m
rabbitmq-2-1  | 2026-08-30 14:25:26.472400+00:00 [info] <0.3179.0> __atlas_1788099923809659000_performance_stream_1788099926414185441 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> memory resource limit alarm set on node 'rabbit@rabbitmq-1'.[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> [0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> **********************************************************[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> *** Publishers will be blocked until this alarm clears ***[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> **********************************************************[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:28.090161+00:00 [warning] <0.775.0> [0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:36.250834+00:00 [warning] <0.775.0> memory resource limit alarm cleared on node 'rabbit@rabbitmq-1'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:36.251404+00:00 [warning] <0.775.0> memory resource limit alarm cleared across the cluster[0m
rabbitmq-2-1  | 2026-08-30 14:25:36.844130+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': granting vote for {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-2-1  | 2026-08-30 14:25:36.851981+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': detected a new leader {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.486581+00:00 [info] <0.795.0> rabbit on node 'rabbit@rabbitmq-1' down[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.530238+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': Leader monitor down with shutdown, setting election timeout[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.554242+00:00 [info] <0.817.0> rabbit_stream_coordinator: Leader monitor down with shutdown, setting election timeout[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.604659+00:00 [info] <0.795.0> node 'rabbit@rabbitmq-1' down: connection_closed[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.621835+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': granting vote for {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-3'} with last {index, term} {9,1} for term 2 previous term was 2[0m
rabbitmq-2-1  | 2026-08-30 14:25:37.629306+00:00 [info] <0.3192.0> queue 'atlas.1788099936787510000.quorum-recovery' in vhost '/': detected a new leader {'%2F_atlas.1788099936787510000.quorum-recovery','rabbit@rabbitmq-3'} in term 2[0m
rabbitmq-2-1  | [38;5;87m2026-08-30 14:25:38.020394+00:00 [notice] <0.817.0> rabbit_stream_coordinator: candidate -> leader in term: 23 machine version: 7, last applied 617[0m
rabbitmq-2-1  | 2026-08-30 14:25:40.587961+00:00 [info] <0.3228.0> accepting AMQP connection 192.168.80.1:31754 -> 192.168.80.2:5672[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:40.597891+00:00 [warning] <0.3228.0> closing AMQP connection <0.3228.0> (192.168.80.1:31754 -> 192.168.80.2:5672, duration: '10ms'):[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:40.597891+00:00 [warning] <0.3228.0> client unexpectedly closed TCP connection[0m
rabbitmq-2-1  | 2026-08-30 14:25:41.008866+00:00 [info] <0.3234.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.052308+00:00 [info] <0.3286.0> User 'atlas' authenticated successfully[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.106879+00:00 [info] <0.3286.0> Adding vhost '/atlas-metadata-20260830T141832Z-3367' (description: '', tags: [])[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.144757+00:00 [info] <0.3290.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/EZCJMNRL8AJ2B9P2JN6TNCW2O' for vhost '/atlas-metadata-20260830T141832Z-3367' exists[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.148098+00:00 [info] <0.3290.0> Setting segment_entry_count for vhost '/atlas-metadata-20260830T141832Z-3367' with 0 queues to '2048'[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.183204+00:00 [info] <0.3290.0> Starting message stores for vhost '/atlas-metadata-20260830T141832Z-3367'[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.187252+00:00 [info] <0.3290.0> Started message store of type transient for vhost '/atlas-metadata-20260830T141832Z-3367'[0m
rabbitmq-2-1  | [38;5;214m2026-08-30 14:25:44.198228+00:00 [warning] <0.3301.0> Message store "EZCJMNRL8AJ2B9P2JN6TNCW2O/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.200364+00:00 [info] <0.3290.0> Started message store of type persistent for vhost '/atlas-metadata-20260830T141832Z-3367'[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.200796+00:00 [info] <0.3290.0> Recovering 0 queues of type rabbit_classic_queue took 34ms[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.202111+00:00 [info] <0.3290.0> Recovering 0 queues of type rabbit_quorum_queue took 1ms[0m
rabbitmq-2-1  | 2026-08-30 14:25:44.202216+00:00 [info] <0.3290.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0> ** gen_event handler rabbit_mqtt_internal_event_handler crashed.[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0> ** Was installed in rabbit_event[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0> ** Last event was: {event,vhost_created,[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                        [{name,<<"/atlas-metadata-20260830T141832Z-3367">>},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {description,<<>>},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {tags,[]},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {default_queue_type,<<"classic">>},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {protected_from_deletion,false},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {metadata,[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                             #{description => <<>>,tags => [],[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                               default_queue_type => <<"classic">>}},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {tracing,false},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {cluster_state,[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                             [{'rabbit@rabbitmq-2',running},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                              {'rabbit@rabbitmq-3',running}]},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {user_who_performed_action,<<"atlas">>},[0m
rabbitmq-2-1  | [38;5;160m2026-08-30 14:25:44.275840+00:00 [error] <0.785.0>                         {description,<<>>},[0m
