rabbitmq-3-1  | [38;5;87m2026-08-30 13:56:09.977787+00:00 [notice] <0.2314.0> queue 'atlas.1788098166172749000.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-3-1  | 2026-08-30 13:56:09.992757+00:00 [info] <0.2330.0> Deleting server '%2F_atlas.1788098166172749000.quorum' and its data directory.[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.857616+00:00 [info] <0.2341.0> Making sure data directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT' for vhost 'atlas-secops-1788098170704400000' exists[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.860204+00:00 [info] <0.2341.0> Setting segment_entry_count for vhost 'atlas-secops-1788098170704400000' with 0 queues to '2048'[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.871529+00:00 [info] <0.2341.0> Starting message stores for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.875059+00:00 [info] <0.2341.0> Started message store of type transient for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:56:10.876988+00:00 [warning] <0.2352.0> Message store "AIUE58IXR340UCD1KOCPUF3PT/msg_store_persistent": rebuilding indices from scratch[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.879626+00:00 [info] <0.2341.0> Started message store of type persistent for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.881074+00:00 [info] <0.2341.0> Recovering 0 queues of type rabbit_classic_queue took 16ms[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.881603+00:00 [info] <0.2341.0> Recovering 0 queues of type rabbit_quorum_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 13:56:10.881925+00:00 [info] <0.2341.0> Recovering 0 queues of type rabbit_stream_queue took 0ms[0m
rabbitmq-3-1  | 2026-08-30 13:56:16.955294+00:00 [info] <0.2373.0> accepting AMQP connection 192.168.80.1:61294 -> 192.168.80.4:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:56:16.971916+00:00 [warning] <0.2373.0> User 'atlas-secops-1788098170704400000-user' failed to authenticate: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:56:16.973217+00:00 [error] <0.2373.0> Error on AMQP connection <0.2373.0> (192.168.80.1:61294 -> 192.168.80.4:5672, state: starting):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:56:16.973217+00:00 [error] <0.2373.0> PLAIN login refused: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-3-1  | 2026-08-30 13:56:19.945670+00:00 [info] <0.2373.0> closing AMQP connection (192.168.80.1:61294 -> 192.168.80.4:5672, duration: '2s')[0m
rabbitmq-3-1  | 2026-08-30 13:56:19.978660+00:00 [info] <0.2382.0> accepting AMQP connection 192.168.80.1:20328 -> 192.168.80.4:5672[0m
rabbitmq-3-1  | 2026-08-30 13:56:19.982330+00:00 [info] <0.2382.0> User 'atlas-secops-1788098170704400000-user' authenticated successfully[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:56:19.983507+00:00 [error] <0.2382.0> Error on AMQP connection <0.2382.0> (192.168.80.1:20328 -> 192.168.80.4:5672, user: 'atlas-secops-1788098170704400000-user', state: opening):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:56:19.983507+00:00 [error] <0.2382.0> access to vhost '/' refused for user 'atlas-secops-1788098170704400000-user'[0m
rabbitmq-3-1  | 2026-08-30 13:56:19.985011+00:00 [info] <0.2382.0> closing AMQP connection (192.168.80.1:20328 -> 192.168.80.4:5672, vhost: 'none', user: 'atlas-secops-1788098170704400000-user', duration: '6ms')[0m
rabbitmq-3-1  | 2026-08-30 13:56:26.074686+00:00 [info] <0.2417.0> accepting AMQP connection 192.168.80.1:40032 -> 192.168.80.4:5672[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 13:56:26.084102+00:00 [warning] <0.2417.0> User 'atlas-secops-1788098170704400000-user' failed to authenticate: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:56:26.084548+00:00 [error] <0.2417.0> Error on AMQP connection <0.2417.0> (192.168.80.1:40032 -> 192.168.80.4:5672, state: starting):[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 13:56:26.084548+00:00 [error] <0.2417.0> PLAIN login refused: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-3-1  | 2026-08-30 13:56:29.085342+00:00 [info] <0.2417.0> closing AMQP connection (192.168.80.1:40032 -> 192.168.80.4:5672, duration: '3s')[0m
rabbitmq-3-1  | 2026-08-30 13:56:29.274607+00:00 [info] <0.2425.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 13:56:29.782569+00:00 [info] <0.2435.0> Stopping vhost supervisor <0.2340.0> for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-3-1  | 2026-08-30 13:56:29.784336+00:00 [info] <0.2341.0> Virtual host 'atlas-secops-1788098170704400000' is stopping[0m
rabbitmq-3-1  | 2026-08-30 13:56:29.787399+00:00 [info] <0.2436.0> Closing all connections in vhost 'atlas-secops-1788098170704400000' on node 'rabbit@rabbitmq-3' because the vhost is stopping[0m
rabbitmq-3-1  | 2026-08-30 13:56:29.789835+00:00 [info] <0.2352.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT/msg_store_persistent'[0m
rabbitmq-3-1  | 2026-08-30 13:56:29.845517+00:00 [info] <0.2352.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT/msg_store_persistent' is stopped[0m
