rabbitmq-3-1  | 2026-08-30 14:42:41.070981+00:00 [info] <0.3216.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:42:48.081509+00:00 [error] <0.3244.0> ** Connection attempt from node 'rabbit_ctl_44@rabbitmq-3' rejected. Invalid challenge reply. **[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:42:48.081509+00:00 [error] <0.3244.0> [0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:42:48.117630+00:00 [error] <0.3246.0> ** Connection attempt from node 'rabbit_ctl_44@rabbitmq-3' rejected. Invalid challenge reply. **[0m
rabbitmq-3-1  | [38;5;160m2026-08-30 14:42:48.117630+00:00 [error] <0.3246.0> [0m
rabbitmq-3-1  | 2026-08-30 14:42:51.015795+00:00 [info] <0.3281.0> User 'atlas' authenticated successfully[0m
rabbitmq-3-1  | 2026-08-30 14:43:06.574650+00:00 [info] <0.3334.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': granting vote for {'%2F_atlas.1788100986247897000.performance.quorum','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-3-1  | 2026-08-30 14:43:06.577496+00:00 [info] <0.3334.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': detected a new leader {'%2F_atlas.1788100986247897000.performance.quorum','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-3-1  | [38;5;87m2026-08-30 14:43:07.106833+00:00 [notice] <0.3334.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': terminating with reason 'delete'[0m
rabbitmq-3-1  | 2026-08-30 14:43:07.114839+00:00 [info] <0.3342.0> Deleting server '%2F_atlas.1788100986247897000.performance.quorum' and its data directory.[0m
rabbitmq-3-1  | 2026-08-30 14:43:07.129349+00:00 [info] <0.3344.0> Stream: __atlas_1788100986247897000_performance_stream_1788100987119661264 will use /var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/stream/__atlas_1788100986247897000_performance_stream_1788100987119661264 for osiris log data directory[0m
rabbitmq-3-1  | 2026-08-30 14:43:07.133324+00:00 [info] <0.3344.0> __atlas_1788100986247897000_performance_stream_1788100987119661264 [osiris_replica:handle_continue/2] osiris replica starting in epoch 1, next offset 0, tail info {0,empty}[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:08.436728+00:00 [warning] <0.770.0> memory resource limit alarm set on node 'rabbit@rabbitmq-1'.[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:08.436728+00:00 [warning] <0.770.0> [0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:08.436728+00:00 [warning] <0.770.0> **********************************************************[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:08.436728+00:00 [warning] <0.770.0> *** Publishers will be blocked until this alarm clears ***[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:08.436728+00:00 [warning] <0.770.0> **********************************************************[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:08.436728+00:00 [warning] <0.770.0> [0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:17.211551+00:00 [warning] <0.770.0> memory resource limit alarm cleared on node 'rabbit@rabbitmq-1'[0m
rabbitmq-3-1  | [38;5;214m2026-08-30 14:43:17.211830+00:00 [warning] <0.770.0> memory resource limit alarm cleared across the cluster[0m
rabbitmq-3-1  | 2026-08-30 14:43:17.730448+00:00 [info] <0.3359.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': granting vote for {'%2F_atlas.1788100997691701000.quorum-recovery','rabbit@rabbitmq-1'} with last {index, term} {0,0} for term 1 previous term was 0[0m
rabbitmq-3-1  | 2026-08-30 14:43:17.734401+00:00 [info] <0.3359.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': detected a new leader {'%2F_atlas.1788100997691701000.quorum-recovery','rabbit@rabbitmq-1'} in term 1[0m
rabbitmq-3-1  | 2026-08-30 14:43:18.083908+00:00 [info] <0.786.0> rabbit on node 'rabbit@rabbitmq-1' down[0m
rabbitmq-3-1  | 2026-08-30 14:43:18.098120+00:00 [info] <0.3359.0> queue 'atlas.1788100997691701000.quorum-recovery' in vhost '/': Leader monitor down with shutdown, setting election timeout[0m
